Surface_total,Surface_usable,Room,Bedroom,Bathroom,Parking,Service_fees,Location,URL,Price
,,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-977672475-apostol-santiago-32-1233-1-_JM#position=28&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,330000.0
53.0,53.0,,2.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980217764-ecuador-4570-_JM#position=29&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,380000.0
55.0,45.0,,2.0,2.0,,70000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-973249868-lado-metro-estacionamiento-nuevo-vista-despejada-amplio-_JM#position=30&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,470000.0
50.0,50.0,,2.0,2.0,1.0,90000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-980556587-departamento-tipo-mariposa-a-estrenar-_JM#position=31&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,400000.0
26.0,26.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-979558200-gral-amengual-102-745-11-_JM#position=32&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,260000.0
33.0,33.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-979823765-gral-amengual-102-745-1-_JM#position=33&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,310000.0
39.0,38.0,,1.0,1.0,,45000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979473353-departamento-en-arriendo-estacion-central-1h1b-con-bodega-_JM#position=34&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,280000.0
35.0,35.0,,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-979485471-departamento-en-arriendo-de-1-dorm-en-estacion-central-_JM#position=35&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,300000.0
45.0,45.0,,2.0,2.0,,75000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979731905-buen-depto-2d-2b-a-2-cuadras-metro-padre-hurtado-_JM#position=36&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,400000.0
40.0,40.0,,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-978278404-departamento-en-arriendo-calle-recreo-estacion-central-_JM#position=37&search_layout=stack&type=item&tracking_id=459a1132-bbfe-43ea-bd29-53d2a560eeca,300000.0
