Surface,Bedrooms,Bathrooms,Location,Price
140.0,3.0,2.0,Las Condes,1587154.0
170.0,3.0,3.0,Las Condes,1587307.0
117.0,3.0,3.0,Las Condes,1587307.0
150.0,3.0,2.0,Las Condes,1587307.0
40.0,1.0,1.0,Las Condes,500000.0
150.0,3.0,3.0,Las Condes,1587307.0
95.0,3.0,2.0,Las Condes,850000.0
80.0,3.0,2.0,Las Condes,850000.0
42.0,1.0,1.0,Las Condes,650000.0
76.0,2.0,2.0,Las Condes,850000.0
180.0,4.0,3.0,Las Condes,1587307.0
180.0,4.0,3.0,Las Condes,1587307.0
160.0,3.0,3.0,Las Condes,1587307.0
70.0,2.0,2.0,Las Condes,850000.0
70.0,2.0,2.0,Las Condes,850000.0
160.0,3.0,2.0,Las Condes,1587307.0
140.0,4.0,3.0,Las Condes,1555561.0
140.0,3.0,2.0,Las Condes,1600000.0
140.0,4.0,4.0,Las Condes,1600000.0
131.0,4.0,4.0,Las Condes,1600000.0
175.0,4.0,4.0,Las Condes,1600000.0
131.0,3.0,3.0,Las Condes,1600000.0
131.0,4.0,4.0,Las Condes,1600000.0
35.0,1.0,1.0,Las Condes,650000.0
50.0,2.0,1.0,Las Condes,830000.0
20.0,2.0,2.0,Las Condes,1600000.0
50.0,1.0,1.0,Las Condes,650000.0
180.0,4.0,3.0,Las Condes,1600000.0
170.0,3.0,3.0,Las Condes,1600000.0
162.0,3.0,2.0,Las Condes,1600958.0
89.0,2.0,2.0,Las Condes,1601910.0
155.0,4.0,4.0,Las Condes,1614609.0
60.0,2.0,1.0,Las Condes,830000.0
110.0,2.0,2.0,Las Condes,1619053.0
140.0,4.0,4.0,Las Condes,1619053.0
80.0,2.0,2.0,Las Condes,827000.0
63.0,1.0,2.0,Las Condes,825400.0
140.0,3.0,3.0,Las Condes,1600000.0
170.0,3.0,3.0,Las Condes,1600000.0
155.0,4.0,4.0,Las Condes,1600000.0
65.0,2.0,1.0,Las Condes,830000.0
138.0,3.0,3.0,Las Condes,1600000.0
95.0,4.0,3.0,Las Condes,850000.0
61.0,2.0,2.0,Las Condes,850000.0
140.0,2.0,4.0,Las Condes,1600000.0
155.0,4.0,3.0,Las Condes,1600000.0
11.0,2.0,2.0,Las Condes,850000.0
135.0,3.0,3.0,Las Condes,1600000.0
80.0,2.0,2.0,Las Condes,850000.0
40.0,1.0,1.0,Las Condes,650000.0
35.0,1.0,1.0,Las Condes,850000.0
140.0,3.0,3.0,Las Condes,1600000.0
160.0,3.0,3.0,Las Condes,1600000.0
48.0,1.0,1.0,Las Condes,850000.0
165.0,3.0,3.0,Las Condes,1600000.0
56.0,2.0,2.0,Las Condes,850000.0
143.0,4.0,3.0,Las Condes,1600000.0
35.0,1.0,1.0,Las Condes,850000.0
32.0,1.0,1.0,Las Condes,500000.0
120.0,3.0,3.0,Las Condes,1600000.0
140.0,3.0,3.0,Las Condes,1365084.0
95.0,4.0,3.0,Las Condes,900000.0
140.0,3.0,2.0,Las Condes,1365084.0
100.0,4.0,3.0,Las Condes,1000000.0
126.0,3.0,3.0,Las Condes,1200000.0
42.0,1.0,1.0,Las Condes,1200000.0
68.0,2.0,2.0,Las Condes,1200000.0
127.0,3.0,3.0,Las Condes,1200000.0
68.0,2.0,2.0,Las Condes,1000000.0
105.0,3.0,3.0,Las Condes,1200000.0
64.0,2.0,2.0,Las Condes,1200000.0
90.0,3.0,3.0,Las Condes,1200000.0
80.0,2.0,2.0,Las Condes,1200000.0
80.0,3.0,2.0,Las Condes,1200000.0
35.0,1.0,1.0,Las Condes,590000.0
85.0,2.0,2.0,Las Condes,1000000.0
140.0,3.0,4.0,Las Condes,1200000.0
60.0,2.0,2.0,Las Condes,1000000.0
120.0,2.0,2.0,Las Condes,1200000.0
100.0,3.0,3.0,Las Condes,1200000.0
110.0,2.0,2.0,Las Condes,1200000.0
140.0,3.0,2.0,Las Condes,1200000.0
72.0,2.0,2.0,Las Condes,600000.0
6.0,2.0,2.0,Las Condes,1000000.0
90.0,2.0,2.0,Las Condes,1150000.0
80.0,2.0,2.0,Las Condes,1000000.0
130.0,4.0,3.0,Las Condes,1170000.0
68.0,2.0,2.0,Las Condes,1000000.0
75.0,2.0,2.0,Las Condes,1174607.0
100.0,3.0,2.0,Las Condes,1000000.0
70.0,2.0,2.0,Las Condes,1174607.0
105.0,3.0,2.0,Las Condes,1180000.0
64.0,2.0,2.0,Las Condes,1000000.0
80.0,2.0,2.0,Las Condes,1186300.0
80.0,2.0,2.0,Las Condes,1198900.0
100.0,2.0,2.0,Las Condes,1200000.0
105.0,3.0,2.0,Las Condes,1200000.0
140.0,4.0,3.0,Las Condes,1200000.0
120.0,3.0,3.0,Las Condes,1000000.0
45.0,1.0,1.0,Las Condes,590000.0
91.0,3.0,2.0,Las Condes,1200000.0
138.0,4.0,3.0,Las Condes,1200000.0
100.0,4.0,3.0,Las Condes,1000000.0
140.0,3.0,3.0,Las Condes,1200000.0
80.0,2.0,2.0,Las Condes,1200000.0
148.0,4.0,4.0,Las Condes,1200000.0
53.0,1.0,1.0,Las Condes,571431.0
45.0,1.0,1.0,Las Condes,571431.0
140.0,3.0,4.0,Las Condes,1200000.0
140.0,4.0,3.0,Las Condes,1200000.0
100.0,3.0,2.0,Las Condes,1200000.0
35.0,1.0,1.0,Las Condes,603177.0
80.0,2.0,2.0,Las Condes,1200000.0
122.0,3.0,3.0,Las Condes,1200000.0
45.0,1.0,1.0,Las Condes,571431.0
132.0,4.0,3.0,Las Condes,1200000.0
142.0,3.0,3.0,Las Condes,1200000.0
90.0,2.0,2.0,Las Condes,980000.0
29.0,1.0,1.0,Las Condes,570000.0
121.0,3.0,3.0,Las Condes,1200000.0
34.0,1.0,1.0,Las Condes,570000.0
112.0,3.0,3.0,Las Condes,1200000.0
75.0,2.0,2.0,Las Condes,1200000.0
90.0,2.0,2.0,Las Condes,980000.0
140.0,4.0,3.0,Las Condes,1200000.0
65.0,2.0,2.0,Las Condes,1150000.0
50.0,1.0,1.0,Las Condes,600000.0
98.0,3.0,2.0,Las Condes,984130.0
130.0,3.0,3.0,Las Condes,1200000.0
72.0,2.0,2.0,Las Condes,1200000.0
38.0,1.0,1.0,Las Condes,580000.0
90.0,2.0,2.0,Las Condes,1200000.0
136.0,3.0,2.0,Las Condes,1200000.0
140.0,4.0,3.0,Las Condes,1200000.0
45.0,1.0,1.0,Las Condes,997800.0
90.0,3.0,3.0,Las Condes,1200000.0
110.0,3.0,2.0,Las Condes,984130.0
140.0,3.0,2.0,Las Condes,990000.0
45.0,1.0,1.0,Las Condes,600000.0
109.0,4.0,3.0,Las Condes,1200000.0
100.0,3.0,2.0,Las Condes,1200000.0
46.0,1.0,1.0,Las Condes,580000.0
34.0,1.0,1.0,Las Condes,580000.0
111.0,2.0,2.0,Las Condes,990000.0
